Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1477082153737506822,covid19,141,148,MISC,0.9998
1477082153737506822,umf,174,178,ORG,0.988
1477082154379231235,covid,72,77,MISC,0.9991
1477082154496663555,malamalamente,4,17,PER,0.7857
1477082154496663555,puerta del sol,36,50,MISC,0.9999
1477082154496663555,covid,76,81,MISC,0.9969
1477082157550034951,bajacalifornia,0,14,LOC,0.9994
1477082157550034951,comité científico,18,35,ORG,0.9999
1477082157550034951,baja california,132,147,LOC,0.9999
1477082157550034951,covid19,149,156,MISC,0.9854
1477082157864599552,sars-cov-2,38,48,MISC,0.9997
1477082157864599552,ciudad de méxico,55,71,LOC,1.0
1477082157944299530,sudáfrica,0,9,LOC,0.9999
1477082158049243138,🇺🇸,0,2,LOC,0.8885
1477082158145712137,mspsaludpública i,0,17,MISC,0.9778
1477082158145712137,yaharia alicea,18,32,PER,0.9999
1477082158145712137,covid-19,167,175,MISC,0.9997
1477082160104292358,manu,4,8,PER,0.4612
1477082160859385858,covid-19,40,48,MISC,0.9998
1477082160859385858,campeche,52,60,LOC,1.0
1477082160913780736,babyaetchecopar,4,19,PER,0.9218
1477082160913780736,covid,68,73,PER,0.6704
1477082161316605966,barcelona,34,43,LOC,1.0
1477082163354951680,imoveqroo,12,21,ORG,0.9964
1477082163354951680,covid19,57,64,MISC,0.9997
1477082163354951680,"""muévete seguro",125,140,MISC,0.9378
1477082163354951680,juntossaldremosadelante,255,278,MISC,0.988
1477082165485649922,rd,8,10,ORG,0.9981
1477082165485649922,abinader,54,62,PER,0.9999
1477082165867433984,méxico,11,17,LOC,0.9999
1477082166261596160,messi,44,49,PER,0.9997
1477082166349676544,camiamdr,4,12,ORG,0.9176
1477082167201067009,mjuliaquinteros,4,19,PER,0.9998
1477082167465234432,salwagus,4,12,PER,0.5946
1477082167465234432,noticia,35,42,MISC,0.9863
1477082167691915267,emirafaniello,4,17,PER,0.4703
1477082167997911041,covid,12,17,MISC,0.8026
1477082168279154693,walmart,24,31,ORG,0.9988
1477082168279154693,dallas,92,98,LOC,1.0
1477082168279154693,univision 23,101,113,ORG,0.9944
1477082168279154693,dallas,114,120,LOC,0.9994
1477082168279154693,medical groupzirigoza,149,170,ORG,0.9991
1477082168539111424,evitamlglw,4,14,PER,0.9963
1477082168539111424,covid,70,75,MISC,0.9996
1477082168539111424,cáncer,110,116,MISC,0.9995
1477082168849408004,paraguay,55,63,LOC,0.9999
1477082168849408004,covid,90,95,MISC,0.9972
1477082169776517125,lucypn,4,10,ORG,0.9841
1477082169776517125,covid,71,76,MISC,0.9996
1477082170149715974,lucasnf7,4,12,PER,0.4152
1477082171391324165,pwermus,4,11,ORG,0.6563
1477082171995156485,maty,4,8,PER,0.8733
1477082174901919747,borisosman,4,14,ORG,0.4386
1477082174901919747,ssa,60,63,ORG,0.9997
1477082174901919747,méxico,65,71,LOC,1.0
1477082176021794817,méxico,3,9,LOC,0.9999
1477082176021794817,covid19,88,95,MISC,0.9999
1477082176021794817,latinus informaciónparati,212,237,ORG,0.9833
1477082176718098435,covid,70,75,ORG,0.9999
1477082179079487491,covid-19,74,82,MISC,0.9999
1477082179079487491,conlosrefugiados,111,127,MISC,0.8279
1477082179385667587,delmontonbueno,4,18,PER,0.9991
1477082180207534084,laraacaraballo,4,18,PER,0.6068
1477082180396400646,alejandra guzmán,6,22,PER,1.0
1477082180396400646,covid-19,58,66,MISC,0.9999
1477082180396400646,silvia pinal,69,81,PER,1.0
1477082180782284803,laraacaraballo,4,18,PER,0.6068
1477082180790603776,messi,44,49,PER,0.9997
1477082183026163717,chinito41260271,4,19,PER,0.9929
1477082186545344516,coronavirusnewv,4,19,ORG,0.998
1477082186545344516,🇨🇴,21,23,LOC,0.8075
1477082186545344516,colombia,26,34,LOC,0.9999
1477082186545344516,colombia,36,44,LOC,0.9999
1477082186545344516,covid-19,92,100,MISC,0.9998
1477082188025937928,cdc,0,3,ORG,0.9999
1477082188025937928,estados unidos,32,46,ORG,0.9999
1477082188025937928,covid-19,60,68,MISC,0.9999
1477082189103874052,carlosverareal,1,15,PER,0.999
1477082189103874052,policiaecuador,17,31,ORG,0.9902
1477082190861197313,adrianzeneduard,4,19,PER,0.9051
1477082193084178435,messi,44,49,PER,0.9997
1477082193537212418,omicron,0,7,PER,0.7972
1477082193813987329,romirenee,4,13,MISC,0.5117
1477082195760017412,informadorchile,4,19,ORG,0.9997
1477082195760017412,minsal,21,27,ORG,0.9999
1477082195760017412,covid-19,115,123,MISC,0.9999
1477082195911065604,cl,12,14,ORG,0.6863
1477082196406063104,desafia a ómicron,1,18,MISC,0.9937
1477082197374898177,rp24z3qu1,4,13,MISC,0.8781
1477082199333744652,annyli,4,10,ORG,0.9139
1477082199333744652,covid,46,51,ORG,0.9996
1477082200516534274,davebondytv,4,15,ORG,0.9104
1477082200516534274,covid,17,22,MISC,0.8656
1477082200516534274,usa,29,32,LOC,0.941
1477082200667525120,datosabiertos,40,53,MISC,0.5623
1477082200667525120,covid19,91,98,MISC,0.9995
1477082203234340865,messi,44,49,PER,0.9997
1477082204165611520,sebastiancepe20,4,19,PER,0.9995
1477082205985951749,comunicacionqr,4,18,ORG,0.9875
1477082205985951749,imoveqroo,32,41,ORG,0.9987
1477082205985951749,covid19,77,84,MISC,0.9999
1477082207038717954,mary_redrose,4,16,PER,0.9979
1477082207038717954,rmairal,28,35,PER,0.5901
1477082207038717954,uned,42,46,ORG,1.0
1477082208317980678,neremoo7,4,12,PER,0.9314
1477082209475612676,paaucp,4,10,ORG,0.9934
1477082211455229952,ops,31,34,ORG,0.9997
1477082211455229952,oms,37,40,ORG,0.9997
1477082211455229952,covid-19,50,58,MISC,0.9999
1477082212751527937,maraca2,4,11,ORG,0.9935
1477082213279838212,jooshim,4,11,PER,0.9783
1477082213279838212,covid,53,58,MISC,0.9999
1477082213279838212,nueva york,76,86,LOC,1.0
1477082213279838212,auron,91,96,PER,0.9997
1477082213279838212,8cho,98,102,PER,0.9984
1477082213279838212,biyin,104,109,PER,0.9999
1477082213279838212,ari,112,115,PER,0.9999
1477082213334278153,metroadelantado,4,19,ORG,0.9992
1477082213334278153,covid,36,41,PER,0.9999
1477082213485363209,paaucp,4,10,ORG,0.9934
1477082213996924929,messi,44,49,PER,0.9997
1477082214852542465,messi,44,49,PER,0.9997
1477082215314034701,covid,72,77,MISC,0.9991
1477082215662108678,jkfineline,4,14,ORG,0.9912
1477082215662108678,messi,39,44,PER,0.9975
1477082215662108678,argentina,72,81,LOC,0.9291
1477082217570578437,drmauriciogon,4,17,PER,0.9992
1477082217570578437,covid19,53,60,MISC,0.9664
1477082217570578437,er,130,132,ORG,0.9986
1477082218472292364,covid-19,63,71,MISC,0.9999
1477082218896007174,alexciddeleon,4,17,PER,0.9729
1477082218896007174,covid omicronvarient,90,110,MISC,0.9996
1477082220850556929,sarabandkasny,4,17,PER,0.5474
1477082220993171459,diegofuerteb,4,16,PER,0.998
1477082220993171459,colombia,86,94,LOC,1.0
1477082221504700416,chinito41260271,4,19,PER,0.9929
1477082222297595904,minsa,4,9,ORG,0.9937
1477082222297595904,peru,10,14,LOC,0.9986
1477082222297595904,pedro castillo,51,65,PER,1.0
1477082222297595904,salud,88,93,MISC,0.9999
1477082222297595904,hernando cevallos,95,112,PER,1.0
1477082223153090564,paulobenitzz,1,13,PER,0.9115
1477082224092758018,méxico,12,18,LOC,1.0
1477082224621195272,arn,47,50,MISC,0.9998
1477082224621195272,covidー19,61,69,MISC,0.9999
1477082225577537539,minsa,4,9,ORG,0.9794
1477082225577537539,peru,10,14,LOC,0.9999
1477082225791447042,gobierno ayuso,41,55,ORG,0.9996
1477082225791447042,protocolo,66,75,MISC,0.9999
1477082226181484550,messi,44,49,PER,0.9997
1477082226672091137,cuentadelodio,4,17,ORG,0.9971
1477082226672091137,omicron,19,26,ORG,0.9994
1477082227393634305,indi2l,4,10,ORG,0.9997
1477082227393634305,barcelona,98,107,LOC,1.0
1477082228026920963,méxico,15,21,LOC,0.9999
1477082228026920963,covid-19,78,86,MISC,0.9999
1477082229352370177,vozmichoacan,4,16,ORG,0.9833
1477082229352370177,covid,43,48,MISC,0.9998
1477082229352370177,michoacán,52,61,LOC,1.0
1477082229633286146,messi,44,49,PER,0.9997
1477082231214682119,suvvera,1,8,PER,0.8304
1477082233542352896,covid,40,45,PER,0.9996
1477082234821746689,messi,44,49,PER,0.9997
1477082235996155904,urkullu,13,20,PER,1.0
1477082235996155904,juanma moreno,52,65,PER,1.0
1477082236482691094,miaeloisaa,265,275,PER,0.9893
1477082236604366850,coronavirusnewv,4,19,ORG,0.9977
1477082236604366850,brasil,26,32,LOC,0.9922
1477082236604366850,covid-19,78,86,MISC,0.9999
1477082236604366850,brasil,105,111,LOC,1.0
1477082236868513797,oms,11,14,ORG,0.9999
1477082236868513797,ómicron,47,54,ORG,0.9998
1477082236868513797,lopezobrador,58,70,PER,0.4422
1477082237623586818,covid,70,75,ORG,0.9999
1477082238671982598,messi,44,49,PER,0.9997
1477082239225765888,elaguspe,4,12,PER,0.9667
1477082239775084548,fresasforvantte,4,19,ORG,0.7486
1477082239775084548,disease,37,44,MISC,0.5089
1477082240937078790,reyes,26,31,MISC,0.4001
1477082242191138822,aleebola,4,12,ORG,0.9898
1477082244011409411,o_ritter,4,12,PER,0.9779
1477082244011409411,covid,126,131,MISC,0.9997
1477082246809104386,eltiempo,4,12,ORG,0.9991
1477082246809104386,covid 19,16,24,MISC,0.9991
1477082246809104386,bogotá,56,62,LOC,1.0
1477082246809104386,dis,136,139,ORG,0.9663
1477082249715765251,andreitaprivv,1,14,PER,0.9862
1477082249715765251,yamileenpersona,16,31,PER,0.3519
1477082249887637504,covid,12,17,PER,0.9033
1477082250239885313,unpicaflor,4,14,PER,0.7242
1477082250239885313,covid,85,90,PER,0.9924
1477082250424557570,lorenatv507,4,15,PER,0.3917
1477082250424557570,israel,17,23,ORG,0.9981
1477082250768367616,chinito41260271,4,19,PER,0.9929
1477082250772680711,covid-19,114,122,MISC,0.9997
1477082250772680711,tudistanciaesmiderecho,127,149,MISC,0.9992
1477082252861489155,new york,13,21,LOC,1.0
1477082252861489155,covid,67,72,MISC,0.9998
1477082252861489155,tikes square,138,150,LOC,0.9998
1477082253163474945,laraacaraballo,4,18,PER,0.6068
1477082255520632836,drakarenrosale1,4,19,PER,0.9999
1477082255520632836,covid,99,104,MISC,0.997
1477082255696691201,reina,4,9,PER,0.9996
1477082255696691201,mariel,11,17,PER,0.9883
1477082258322477058,rubenbc24,4,13,PER,0.9331
1477082258385346565,unpicaflor,4,14,PER,0.7242
1477082258385346565,covid,85,90,PER,0.9924
1477082258787864577,notafaso,4,12,ORG,0.9991
1477082258792144899,reina,4,9,PER,0.9996
1477082258792144899,mariel,11,17,PER,0.9883
1477082259912077312,fresasforvantte,4,19,ORG,0.7486
1477082259912077312,disease,37,44,MISC,0.5089
1477082260163764224,covid,33,38,PER,0.9994
1477082261610708997,alpeange,4,12,ORG,0.7552
1477082261610708997,covid,17,22,ORG,0.9791
1477082262420307968,carlwinslou,4,15,PER,0.9893
1477082262487412741,coparmexpuebla,4,18,ORG,0.9988
1477082262487412741,covid,90,95,MISC,0.9998
1477082263234002947,elaguspe,4,12,PER,0.9667
1477082263577845767,méxico,0,6,LOC,0.9998
1477082263577845767,méxico,8,14,LOC,0.9999
1477082263577845767,covid,60,65,MISC,0.9998
1477082263871373313,salwagus,4,12,PER,0.5946
1477082263871373313,noticia,35,42,MISC,0.9863
1477082264630489088,covid,9,14,MISC,0.9994
1477082264630489088,covid’,77,83,MISC,0.9982
1477082265007976451,elaguspe,4,12,PER,0.9667
1477082265914167298,tv,39,41,ORG,0.9627
1477082265914167298,albaregalado,90,102,PER,0.9504
1477082265914167298,puebloexigerd,105,118,PER,0.7985
1477082265914167298,felixdavidmejia,121,136,PER,0.9993
1477082265914167298,euricsanti,139,149,PER,0.9993
1477082266803134471,rauladalid,4,14,PER,0.9993
1477082266803134471,instagram,22,31,MISC,0.9901
1477082267298283530,minsa,4,9,ORG,0.997
1477082267298283530,peru,10,14,LOC,0.9999
1477082267298283530,covid19,80,87,MISC,0.9999
1477082267298283530,perú,91,95,LOC,1.0
1477082268669730819,domiingueezzz,4,17,PER,0.8738
1477082269114380288,paaucp,4,10,ORG,0.9934
1477082269898756099,pedrocastillote,4,19,PER,0.9987
1477082269898756099,gobierno,60,68,ORG,0.9999
1477082269898756099,covid-19,97,105,MISC,0.9999
1477082270548779010,laracasstro,4,15,PER,0.9994
1477082270548779010,covid,17,22,PER,0.9999
1477082270683078663,covid-19,40,48,MISC,0.9999
1477082272390078465,ministerio de turismo,152,173,ORG,0.9999
1477082272390078465,covid-19,245,253,MISC,0.9999
1477082272390078465,plannavidad2021,256,271,MISC,0.9178
1477082272880865283,covid,88,93,MISC,0.9995
1477082275644903424,elenaberberana,4,18,PER,0.9949
1477082275644903424,bonilla,20,27,PER,0.9999
1477082275644903424,canal sur,58,67,ORG,0.672
1477082275644903424,granada,96,103,LOC,1.0
1477082275644903424,ayuso,121,126,PER,0.9999
1477082276114706438,srat,4,8,PER,0.6079
1477082276219568133,serranoismael,4,17,PER,0.5818
1477082277200990208,albertojvivas14,4,19,PER,0.4359
1477082277200990208,gnb,36,39,ORG,0.983
1477082277200990208,eje barlovento,65,79,LOC,0.9993
1477082277200990208,covid19,126,133,MISC,0.9998
1477082277595299842,covid-19,47,55,MISC,0.9999
1477082277595299842,lationamérica,59,72,LOC,1.0
1477082278345859076,messi,44,49,PER,0.9997
1477082279382028291,alvarezmanu17,4,17,PER,0.9156
1477082279805652995,everastegui,4,15,PER,0.8826
1477082279805652995,covid,63,68,MISC,0.9968
1477082280057257985,gobcdmx,4,11,ORG,0.9997
1477082280057257985,covid19,108,115,MISC,0.9999
1477082280845660164,messi,44,49,PER,0.9997
1477082283270184963,botidos,4,11,PER,0.9993
1477082283270184963,omicron,49,56,MISC,0.9999
1477082283676995586,jorxnews,4,12,ORG,0.998
1477082283676995586,animal crossing,45,60,MISC,0.9995
1477082283764948992,ferchamorroh,4,16,PER,0.452
1477082284025077764,pardoregla,4,14,PER,0.9689
1477082284025077764,covid19,73,80,MISC,0.9999
1477082284025077764,sal,135,138,LOC,0.9997
1477082285115645953,suvvera,4,11,PER,0.8598
1477082285115645953,mario casaretto,20,35,PER,0.9999
1477082286487052290,bbcmundo,4,12,ORG,0.9971
1477082289024774146,hxdes,4,9,ORG,0.8761
1477082289024774146,covid,65,70,MISC,0.9994
1477082289796313091,tini stoessel,68,81,PER,0.9858
1477082289960099845,messi,44,49,PER,0.9997
1477082290094284813,covid,31,36,MISC,0.9987
1477082290094284813,dios,79,83,MISC,0.8182
1477082291281317894,comité de salud municipal,3,28,ORG,0.9999
1477082291281317894,covid-19,213,221,MISC,0.9999
1477082291281317894,somostodos,232,242,ORG,0.9566
1477082292015276040,tobiaslatour,4,16,PER,0.9988
1477082292015276040,estados unidos,18,32,ORG,0.9997
1477082292015276040,covid,110,115,MISC,0.9999
1477082293231489024,soytemuco,4,13,ORG,0.9627
1477082293231489024,covid-19,34,42,MISC,0.9998
1477082293231489024,temuco,64,70,LOC,1.0
1477082293755957252,lopezdoriga,4,15,ORG,0.4317
1477082293755957252,covid-19,50,58,MISC,0.9999
1477082293755957252,méxico,94,100,LOC,1.0
1477082294607298563,mianrey,4,11,ORG,0.995
1477082294607298563,covid,43,48,MISC,0.9993
1477082294607298563,españa,77,83,LOC,1.0
1477082295244840964,elaguspe,4,12,PER,0.9667
1477082301154664449,sarabandkasny,4,17,PER,0.5474
1477082304279371782,ezealvarez02,4,16,PER,0.9237
1477082305101451264,delmontonbueno,4,18,PER,0.9991
1477082311137140742,manzorro,4,12,PER,0.9974
1477082311137140742,luisr,13,18,PER,0.5046
1477082311137140742,comunidadmadrid,53,68,ORG,0.9837
1477082311137140742,ministerio de sanidad,85,106,ORG,0.9999
1477082311682371590,covid,122,127,MISC,0.9733
1477082311975849985,messi,44,49,PER,0.9997
1477082312059723779,chinito41260271,4,19,PER,0.9929
1477082314073161739,dr robert malone,3,20,PER,0.9998
1477082314073161739,joe rogan experience,28,48,MISC,0.9998
1477082314073161739,dr vladimir  zelenko,63,84,PER,0.9999
1477082314073161739,rick bright,101,112,PER,0.9999
1477082314073161739,janet woodcock,114,128,PER,0.9999
1477082314073161739,covid-19,223,231,MISC,0.9999
1477082317755584514,visiontimesesp,4,18,ORG,0.9991
1477082317755584514,twitter,20,27,ORG,0.9998
1477082317755584514,dr robertmalone,41,57,PER,0.9884
1477082317755584514,arn,134,137,ORG,0.9893
1477082319164825603,camiiilaborda,4,17,PER,0.917
1477082319164825603,covid,27,32,PER,0.9939
1477082319236259840,méxico,49,55,LOC,1.0
1477082319236259840,covid,99,104,MISC,0.9994
1477082319236259840,hlgatell,136,144,ORG,0.9998
1477082319236259840,lopezobrador,146,158,ORG,0.992
1477082321350180865,camilaaherrann,4,18,PER,0.901
1477082321627103235,grande cristina pedroche,15,39,MISC,0.7807
1477082321627103235,omicron,51,58,PER,0.5894
1477082322210017281,prez brandon,0,12,PER,0.9447
1477082324013654018,chinito41260271,4,19,PER,0.9929
1477082324118298627,nyc,4,7,ORG,0.9996
1477082324118298627,covid-19,49,57,MISC,0.9999
1477082324118298627,la reina,106,114,LOC,0.9999
1477082324118298627,vitacura,116,124,LOC,0.9998
1477082324118298627,lo barnechea,127,139,LOC,0.9999
1477082324281954304,paaucp,4,10,ORG,0.9934
1477082324441477122,ama,4,7,PER,0.9344
1477082325150314497,pediatría,1,10,MISC,0.9999
1477082325150314497,alergia,12,19,MISC,0.9999
1477082325150314497,inmunología,22,33,MISC,0.9999
1477082325150314497,aepediatria,141,152,ORG,0.9997
1477082325150314497,who,154,157,ORG,0.9999
1477082325150314497,webmd,159,164,ORG,0.9999
1477082325234208771,roloal1901,4,14,PER,0.9006
1477082325234208771,covid 19,85,93,MISC,0.9996
1477082325775179776,jooshim,4,11,PER,0.9783
1477082325775179776,covid,53,58,MISC,0.9999
1477082325775179776,nueva york,76,86,LOC,1.0
1477082325775179776,auron,91,96,PER,0.9997
1477082325775179776,8cho,98,102,PER,0.9984
1477082325775179776,biyin,104,109,PER,0.9999
1477082325775179776,ari,112,115,PER,0.9999
1477082326257516547,anaavaro,1,9,PER,0.6505
1477082327087915009,messi,44,49,PER,0.9997
1477082327524196357,erandicerbon,4,16,PER,0.9985
1477082328816095233,crazyfeelingfb,4,18,PER,0.9821
1477082328816095233,covid19,41,48,MISC,0.9999
1477082328887406592,miyerlandi torres,58,75,PER,0.9999
1477082328887406592,salud,91,96,MISC,0.9984
1477082328887406592,cali,100,104,LOC,0.9992
1477082328887406592,covid-19,170,178,MISC,0.9999
1477082332003811335,mianrey,4,11,ORG,0.995
1477082332003811335,covid,43,48,MISC,0.9993
1477082332003811335,españa,77,83,LOC,1.0
1477082333903822852,elaguspe,4,12,PER,0.9667
1477082335149375490,datosabiertos,40,53,MISC,0.5623
1477082335149375490,covid19,91,98,MISC,0.9995
1477082335833206785,rolalde,4,11,PER,0.5875
1477082337024294912,djmariio,4,12,PER,0.9675
1477082337024294912,covid,43,48,PER,0.9699
1477082338618085378,covid,18,23,LOC,0.973
1477082339570159620,louis,81,86,PER,0.9999
1477082339570159620,salvaste mi vida,96,112,MISC,0.9636
1477082339570159620,louis,127,132,PER,0.9999
1477082339570159620,tomlinson,133,142,PER,0.9999
1477082340492935168,covid,31,36,MISC,0.9994
1477082340774105089,elaguspe,4,12,PER,0.9667
1477082340979621888,sach,4,8,PER,0.6532
1477082341180911624,notafaso,4,12,ORG,0.9991
1477082342489571334,paaucp,4,10,ORG,0.9934
1477082342929969152,agussaguero45,4,17,PER,0.9995
1477082342934122498,pradobenjamin,4,17,MISC,0.5924
1477082342934122498,comunidad de madrid,22,41,LOC,0.9998
1477082342934122498,ayuso,45,50,ORG,0.5685
1477082343378755586,sancadilla,4,14,ORG,0.9975
1477082343378755586,covid-10 es más chico que covid-19,27,64,MISC,0.9012
1477082343378755586,mediotiempo,75,86,ORG,0.9674
1477082343378755586,sancatuitsawards,103,119,MISC,0.9562
1477082345014505473,delmarmariaa,4,16,PER,0.7728
1477082345026953219,messi,44,49,PER,0.9997
1477082346360819715,emiimoyaano,4,15,PER,0.3172
1477082353537372166,gi0ssj,4,10,PER,0.4243
1477082354078437377,américa,0,7,LOC,0.9999
1477082354178936833,messi,44,49,PER,0.9997
1477082354522882052,plpqro,1,7,MISC,0.5671
1477082354522882052,giisl0,9,15,PER,0.9016
1477082354522882052,frannydiego,17,28,PER,0.6187
1477082354522882052,doctormacias,30,42,MISC,0.5314
1477082354522882052,méxico,159,165,LOC,0.9999
1477082356603187203,reina,4,9,PER,0.9996
1477082356603187203,mariel,11,17,PER,0.9883
1477082356729135104,wrst,10,14,PER,0.4804
1477082359769882625,messi,44,49,PER,0.9997
1477082359786876929,lagamez,4,11,PER,0.5358
1477082361166716929,domadora76,4,14,PER,0.94
1477082361166716929,omicron,22,29,MISC,0.805
1477082362655686657,covid19,55,62,MISC,0.9999
1477082362655686657,notimex,66,73,ORG,0.9999
1477082362655686657,agencia de noticias del estado mexicano,75,114,ORG,0.9998
1477082363456671746,ammanev,4,11,PER,0.8976
1477082364698402821,reducción de daños,11,29,MISC,0.997
1477082364698402821,kim,66,69,PER,0.9988
1477082364698402821,casaamedia,78,88,ORG,0.9998
1477082364698402821,bellewitch66,90,102,PER,0.4928
1477082367097454598,puerto rico,16,27,LOC,1.0
1477082367361757185,talvezseayoo,4,16,PER,0.4088
1477082368188026888,pau,4,7,PER,0.9076
1477082368188026888,hospital xoco,17,30,LOC,0.9975
1477082368188026888,covid hospital la pastora,100,125,ORG,0.9996
1477082368188026888,ajusco medio,127,139,LOC,0.8099
1477082370578821129,covid,64,69,MISC,0.9994
1477082371434463233,cuba,30,34,LOC,0.9996
1477082371434463233,cubavive  cubaporlasalud  feliz2022revolución,74,119,MISC,0.9981
1477082371442688002,milagrosfornes7,4,19,PER,0.9812
1477082371895685120,circusciro,4,14,MISC,0.4708
1477082372084363267,chinito41260271,4,19,PER,0.9929
1477082378002595840,donperro1991,1,13,PER,0.99
1477082378002698247,bigotes41582488,4,19,PER,0.4786
1477082378002698247,covid,91,96,MISC,0.999
1477082378002698247,odysseyoftheseas,117,133,MISC,0.9947
1477082380548681730,latinus,4,11,ORG,0.9392
1477082380548681730,us,12,14,ORG,0.7497
1477082380548681730,méxico,19,25,LOC,1.0
1477082380548681730,covid19,104,111,MISC,0.9999
1477082383283150852,manarellidiego,4,18,PER,0.4278
1477082383283150852,covid19,48,56,MISC,0.9998
1477082383283150852,chucha,74,80,MISC,0.9843
1477082384520695813,grande cristina pedroche,15,39,MISC,0.7807
1477082384520695813,omicron,51,58,PER,0.5894
1477082386257088514,11dadasaurio,4,16,PER,0.9985
1477082386257088514,bowl,103,107,MISC,0.8904
1477082389474168832,nochevieja,0,10,MISC,0.7936
1477082389616680964,roumayssaa3,4,15,PER,0.5904
1477082389679644675,pcr,99,102,MISC,0.9995
1477082392385011715,alzado36,4,12,ORG,0.9877
1477082392385011715,fda,17,20,ORG,0.9999
1477082392385011715,pcr,43,46,MISC,0.996
1477082392385011715,cdc,54,57,ORG,0.9999
1477082392385011715,covid-19,63,71,MISC,0.9999
1477082394054340608,ericbla90829613,4,19,PER,0.985
1477082394054340608,méxico,21,27,ORG,0.9989
1477082394054340608,américa latina,74,88,LOC,0.9999
1477082394054340608,elpaismexico,118,130,ORG,0.9187
1477082395383902209,messi,44,49,PER,0.9997
1477082395581067273,djmariio,4,12,PER,0.9675
1477082395581067273,covid,43,48,PER,0.9699
1477082396671750145,luchorc1889,4,15,PER,0.967
1477082397829128195,tavolopezzam,1,13,PER,0.8283
1477082397829128195,el compay,42,51,MISC,0.9998
1477082397829128195,covid,105,110,MISC,0.9997
1477082399074775045,luzugames,4,13,ORG,0.994
1477082402661060612,covid-19,17,25,MISC,0.9999
